节点名称,2025年09月27日,2025年09月28日,2025年09月29日,2025年09月30日,2025年10月01日,2025年10月02日,2025年10月03日,2025年10月04日,2025年10月05日,2025年10月06日,2025年10月07日,2025年10月08日,2025年10月09日,2025年10月10日,2025年10月11日,2025年10月12日,2025年10月13日,2025年10月14日,2025年10月15日,2025年10月16日,2025年10月17日,2025年10月18日,2025年10月19日,2025年10月20日,2025年10月21日,2025年10月22日,2025年10月23日,2025年10月24日,2025年10月25日,2025年10月26日,2025年10月27日,2025年10月28日,2025年10月29日,2025年10月30日,2025年10月31日,2025年11月01日,2025年11月02日,2025年11月03日,2025年11月04日,2025年11月05日
be56c8ce16c7f19d02c61d8d1a77f036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,12.06,13.2,15.75,14.66,14.68,14.41,13.36,16.14,13.84,19.44,18.07,14.99,13.81,15.23,14.37,20.86,18.97,20.98,4.59,11.39,0
be56c8ce16c7f19d06ad28c4c45ab035,15.13,14.47,0.34,11.18,13.9,12.9,10.61,2.72,10.72,13.35,12.36,13.92,11.81,11.96,13.61,3.02,0,0.4,3.82,8.58,8.26,7.94,7.47,6.91,6.45,6.72,7.66,3.76,9.4,9.66,11.02,11.91,0,7.64,10.56,10.82,9.53,1.92,1.93,0
be56c8ce16c7f19d5ed192165d3de036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07,15.31,11.47,11.88,12.57,13.64,10.84,10.19,10.4,10.34,10.99,10.44,10.75,0,3.46,14.44,15.13,18.84,11.76,11.05,0
be56c8ce16c7f19daba41fa3d7953036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,10.59,11.51,10.18,10.5,10.49,12.83,9.25,9.3,9.56,9.02,10.77,8.87,0,8.93,0,0,1.38,8.21,8.61,0
be56c8ce16c7f19dad22bb7a3589f036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,11.37,11.28,13.54,17.01,15.35,15.66,17,17.82,17.29,16.96,17.93,18.48,15.74,15.2,0,3.03,10.07,15.78,18.34,12.45,10.44,0
be56c8ce16c7f19dcf225f3e5cf57036,16.74,12.53,15.7,13.6,12.13,14.33,12.46,12.73,12.28,12.45,12.22,13.22,12.57,8.15,7.41,5.95,0,0,8.1,8.73,10.51,13.73,14.85,13.56,11.65,11.41,12.69,13.67,14.57,13.68,11.95,14.99,12.99,11.51,14.92,18.52,17.68,5.02,10.11,0
103c6d8249e4543bbd7bbdd9355f2be9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79,9.01,9.43,9.46,1.93,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2be88f516d087467e3ab78fbc720054b,0,0,0,0,5.96,10.07,10.13,10.38,5.38,0.08,6.46,7.92,10.03,6.26,0,0,0,11.4,19.03,19.68,22.72,22.25,22.62,22.33,22.14,20.77,22.08,25.83,26.25,0,0,24.4,20.49,1.39,1.28,1.32,1.13,1.36,1.18,0
77b07b7a4888b98ca8832742dfd83d70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89,9.8,9.48,0,0,0,0,6.26,10.43,10.15,10.29,10.11,10.31,10.34,10.5,10.48,0,9.62,10.2,10.2,1.13,1.44,1.56,1.57,1.65,0
e0631ca80328e568ff2e8a6b1718d379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.12,9.62,9.82,4.91,9.25,8.84,9.34,8.72,9.05,8.44,8.83,9.31,9.26,0,0,9.39,9.37,0.66,0,0.8,0.8,0,0,0
0fc8e1eb94af48f199a36fa528bf16a7,10.79,10.47,7.96,8.78,2.62,9.64,11.4,13.91,14.26,14.13,12.01,14.76,13.59,13.28,12.42,11.95,4.49,7.13,4.11,7.89,10.35,10.36,10.99,6.14,10.87,10.18,10.44,10.13,9.52,10.57,10.84,11.04,9.99,9.45,0,0,0,4.06,9.31,0
3337a8bb71f21d04a0c713ac47bf36ab,0,0,0,0,0,8.55,11.95,12.41,12.52,12.52,3.09,10.71,12.38,12.12,12.43,12.41,0,2.81,0.84,5.63,5.3,4.03,0,8.98,9.42,10.57,10.45,3.9,2.97,8.55,8.78,9.72,10.83,12.76,15.52,14.2,16.19,4.16,9.93,0
b7909d6e30fae4597550a51c02c4319f,13.5,9.97,11.66,12.04,9.09,8.76,7.82,8.24,7.25,8.93,8.07,9.33,6.46,6.77,7.29,7.35,9.42,12.87,5.57,7.91,9.75,10.89,10.27,11.04,10.84,9.04,11.59,10.45,8.94,10.13,11.54,8.88,10.28,9.3,0,0,0,4.13,10.3,0
